Wed, 10.8.;Sea Shepherd;22:00;22:00;CANNIBAL CORPSE;Death Metal;US;1988
Thu, 11.8.;Sea Shepherd;18:45;18:45;ASPHYX;Death Metal;NL;1987
Fri, 12.8.;Sea Shepherd;17:45;17:45;SWALLOW THE SUN;Doom Metal;FI;2000
Sat, 13.8.;Sea Shepherd;17:45;17:45;INSOMNIUM;Melodic Death Metal;FI;1997
Wed, 10.8.;Jägermeister;23:15;23:15;DARK FUNERAL;Black Metal;SE;1993
Thu, 11.8.;Jägermeister;19:50;19:50;PARADISE LOST;Gothic Metal / Doom Metal;UK;1988
Fri, 12.8.;Jägermeister;18:40;18:40;SICK OF IT ALL;New York Hardcore;US;1985
Sat, 13.8.;Jägermeister;18:40;18:40;MELT-BANANA;Experimental Rock / Noise Hardcore;JP;1992
Wed, 10.8.;Sea Shepherd;00:20;00:20;AMENRA;Sludge / Doom / Post-Metal;BE;1999
Thu, 11.8.;Sea Shepherd;20:55;20:55;AS I LAY DYING;Metalcore;US;2000
Fri, 12.8.;Sea Shepherd;19:45;19:45;DECAPITATED;Modern Death Metal;PL;1996
Sat, 13.8.;Sea Shepherd;19:40;19:40;LEPROUS;Progressive Rock / Metal;NO;2001
Thu, 11.8.;Jägermeister;22:05;22:05;MERCYFUL FATE;Occult Heavy Metal;DK;1981
Fri, 12.8.;Jägermeister;20:50;20:50;ABBATH;Black Metal;NO;2015
Sat, 13.8.;Jägermeister;20:50;20:50;FRONT LINE ASSEMBLY;Ebm / Electro / Industrial;CA;1986
Thu, 11.8.;Sea Shepherd;23:25;23:25;CRADLE OF FILTH;Extreme Gothic Metal;UK;1991
Fri, 12.8.;Sea Shepherd;22:05;22:05;SUFFOCATION;Technical Brutal Death Metal;US;1988
Sat, 13.8.;Sea Shepherd;21:55;21:55;SÓLSTAFIR;Psychedelic Post-Rock / Shoegaze;IS;1995
Thu, 11.8.;Jägermeister;00:35;00:35;FLESHGOD APOCALYPSE;Orchestral Death Metal;IT;2007
Fri, 12.8.;Jägermeister;23:20;23:20;VENOM;Black Metal / Nwobhm;UK;1978
Sat, 13.8.;Jägermeister;23:10;23:10;MAYHEM;Black Metal;NO;1984
Fri, 12.8.;Sea Shepherd;00:35;00:35;MYSTICUM;Industrial Black Metal;NO;1991
Sat, 13.8.;Sea Shepherd;00:30;00:30;ORANSSI PAZUZU;Psychedelic Black Metal / Krautrock;FI;2007
Tue,  9.8.;Obscure;16:30;16:30;EXTERMINATION DISMEMBERMENT;Slamming Brutal Death;BY;2009
Wed, 10.8.;Obscure;15:30;15:30;SCHIZOPHRENIA;Death / Thrash Metal;BE;2016
